parlamentar.id,parlamentar.uri,parlamentar.nome,parlamentar.siglaPartido,parlamentar.uriPartido,parlamentar.siglaUf,parlamentar.idLegislatura,parlamentar.email,parlamentar.urlFoto,titulo,bancada.tipo,bancada.nome,bancada.uri,dataInicio,dataFim
141518,https://dadosabertos.camara.leg.br/api/v2/deputados/141518,PAULO PEREIRA DA SILVA,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,SP,53,dep.paulopereiradasilva@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/141518.jpgmaior.jpg,1º Vice-Líder,Bloco Parlamentar,"PSB, PCdoB, PRB",https://dadosabertos.camara.leg.br/api/v2/blocos/533,2007-02-02,2007-06-18
74356,https://dadosabertos.camara.leg.br/api/v2/deputados/74356,SILAS CÂMARA,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,AM,53,dep.silascamara@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/74356.jpgmaior.jpg,Vice-Líder,Bloco Parlamentar,"PSB, PCdoB, PRB",https://dadosabertos.camara.leg.br/api/v2/blocos/533,2007-02-06,2007-03-29
74399,https://dadosabertos.camara.leg.br/api/v2/deputados/74399,ONYX LORENZONI,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,RS,53,,https://www.camara.leg.br/internet/deputado/bandep/74399.jpgmaior.jpg,Líder,Partido Político,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,2007-02-06,2008-02-19
73994,https://dadosabertos.camara.leg.br/api/v2/deputados/73994,JÚLIO REDECKER,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,RS,53,,https://www.camara.leg.br/internet/deputado/bandep/73994.jpgmaior.jpg,Líder,Minoria na CD,Minoria na CD,,2007-02-06,2007-07-17
74058,https://dadosabertos.camara.leg.br/api/v2/deputados/74058,ANTONIO CARLOS MAGALHÃES NETO,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,BA,53,,https://www.camara.leg.br/internet/deputado/bandep/74058.jpgmaior.jpg,1º Vice-Líder,Partido Político,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,2007-02-07,2008-02-19
141447,https://dadosabertos.camara.leg.br/api/v2/deputados/141447,GUILHERME CAMPOS,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,SP,53,,https://www.camara.leg.br/internet/deputado/bandep/141447.jpgmaior.jpg,Vice-Líder,Partido Político,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,2007-02-07,2008-03-04
74553,https://dadosabertos.camara.leg.br/api/v2/deputados/74553,JOSÉ CARLOS ALELUIA,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,BA,53,,https://www.camara.leg.br/internet/deputado/bandep/74553.jpgmaior.jpg,Vice-Líder,Partido Político,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,2007-02-07,2011-01-31
74693,https://dadosabertos.camara.leg.br/api/v2/deputados/74693,RODRIGO MAIA,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,RJ,53,,https://www.camara.leg.br/internet/deputado/bandep/74693.jpgmaior.jpg,Vice-Líder,Partido Político,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,2007-02-07,2007-03-06
74813,https://dadosabertos.camara.leg.br/api/v2/deputados/74813,RONALDO CAIADO,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,GO,53,,https://www.camara.leg.br/internet/deputado/bandep/74813.jpgmaior.jpg,Vice-Líder,Partido Político,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,2007-02-07,2008-02-19
73764,https://dadosabertos.camara.leg.br/api/v2/deputados/73764,ABELARDO LUPION,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,PR,53,,https://www.camara.leg.br/internet/deputado/bandep/73764.jpgmaior.jpg,Vice-Líder,Partido Político,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,2007-02-07,2010-02-09
74433,https://dadosabertos.camara.leg.br/api/v2/deputados/74433,ROBERTO MAGALHÃES,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,PE,53,,https://www.camara.leg.br/internet/deputado/bandep/74433.jpgmaior.jpg,Vice-Líder,Partido Político,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,2007-02-07,2011-01-31
141515,https://dadosabertos.camara.leg.br/api/v2/deputados/141515,OTAVIO LEITE,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,RJ,53,,https://www.camara.leg.br/internet/deputado/bandep/141515.jpgmaior.jpg,Vice-Líder,Minoria na CD,Minoria na CD,,2007-02-07,2007-08-20
141516,https://dadosabertos.camara.leg.br/api/v2/deputados/141516,PAULO ABI-ACKEL,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MG,53,dep.pauloabiackel@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/141516.jpgmaior.jpg,Vice-Líder,Minoria na CD,Minoria na CD,,2007-02-07,2007-08-08
141559,https://dadosabertos.camara.leg.br/api/v2/deputados/141559,WALDIR NEVES,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MS,53,,https://www.camara.leg.br/internet/deputado/bandep/141559.jpgmaior.jpg,Vice-Líder,Minoria na CD,Minoria na CD,,2007-02-07,2007-08-20
141533,https://dadosabertos.camara.leg.br/api/v2/deputados/141533,RODRIGO ROLLEMBERG,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,DF,53,,https://www.camara.leg.br/internet/deputado/bandep/141533.jpgmaior.jpg,Vice-Líder,Bloco Parlamentar,"PSB, PCdoB, PRB",https://dadosabertos.camara.leg.br/api/v2/blocos/533,2007-02-08,2009-02-01
74688,https://dadosabertos.camara.leg.br/api/v2/deputados/74688,LUIZ SÉRGIO,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RJ,53,,https://www.camara.leg.br/internet/deputado/bandep/74688.jpgmaior.jpg,Líder,Partido Político,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,2007-02-08,2008-02-12
74368,https://dadosabertos.camara.leg.br/api/v2/deputados/74368,LEONARDO VILELA,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,GO,53,,https://www.camara.leg.br/internet/deputado/bandep/74368.jpgmaior.jpg,1º Vice-Líder,Partido Político,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,2007-02-08,2008-02-27
141407,https://dadosabertos.camara.leg.br/api/v2/deputados/141407,CIRO PEDROSA,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,MG,53,,https://www.camara.leg.br/internet/deputado/bandep/141407.jpgmaior.jpg,Vice-Líder,Partido Político,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,2007-02-12,2007-09-25
141390,https://dadosabertos.camara.leg.br/api/v2/deputados/141390,ANTÔNIO ROBERTO,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,MG,53,,https://www.camara.leg.br/internet/deputado/bandep/141390.jpgmaior.jpg,Vice-Líder,Partido Político,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,2007-02-12,2009-09-11
141483,https://dadosabertos.camara.leg.br/api/v2/deputados/141483,LINDOMAR GARÇON,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,RO,53,,https://www.camara.leg.br/internet/deputado/bandep/141483.jpgmaior.jpg,Vice-Líder,Partido Político,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,2007-02-12,2007-03-15
141473,https://dadosabertos.camara.leg.br/api/v2/deputados/141473,ROBERTO SANTIAGO,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,SP,53,,https://www.camara.leg.br/internet/deputado/bandep/141473.jpgmaior.jpg,Vice-Líder,Partido Político,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,2007-02-12,2007-09-25
73993,https://dadosabertos.camara.leg.br/api/v2/deputados/73993,ARNALDO MADEIRA,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,53,,https://www.camara.leg.br/internet/deputado/bandep/73993.jpgmaior.jpg,Vice-Líder,Partido Político,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,2007-02-13,2008-02-28
141393,https://dadosabertos.camara.leg.br/api/v2/deputados/141393,BRUNO RODRIGUES,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,PE,53,,https://www.camara.leg.br/internet/deputado/bandep/141393.jpgmaior.jpg,Vice-Líder,Partido Político,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,2007-02-13,2009-06-03
141402,https://dadosabertos.camara.leg.br/api/v2/deputados/141402,CARLOS BRANDÃO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MA,53,,https://www.camara.leg.br/internet/deputado/bandep/141402.jpgmaior.jpg,Vice-Líder,Partido Político,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,2007-02-13,2008-02-28
74119,https://dadosabertos.camara.leg.br/api/v2/deputados/74119,EMANUEL FERNANDES,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,53,,https://www.camara.leg.br/internet/deputado/bandep/74119.jpgmaior.jpg,Vice-Líder,Partido Político,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,2007-02-13,2008-02-28
73460,https://dadosabertos.camara.leg.br/api/v2/deputados/73460,GUSTAVO FRUET,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,PR,53,,https://www.camara.leg.br/internet/deputado/bandep/73460.jpgmaior.jpg,Vice-Líder,Partido Político,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,2007-02-13,2009-02-12
74570,https://dadosabertos.camara.leg.br/api/v2/deputados/74570,JUTAHY JUNIOR,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,BA,53,,https://www.camara.leg.br/internet/deputado/bandep/74570.jpgmaior.jpg,Vice-Líder,Partido Político,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,2007-02-13,2008-02-28
74277,https://dadosabertos.camara.leg.br/api/v2/deputados/74277,LOBBE NETO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,53,,https://www.camara.leg.br/internet/deputado/bandep/74277.jpgmaior.jpg,Vice-Líder,Partido Político,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,2007-02-13,2011-01-31
141489,https://dadosabertos.camara.leg.br/api/v2/deputados/141489,LUIZ PAULO VELLOZO LUCAS,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,ES,53,,https://www.camara.leg.br/internet/deputado/bandep/141489.jpgmaior.jpg,Vice-Líder,Partido Político,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,2007-02-13,2008-02-28
141520,https://dadosabertos.camara.leg.br/api/v2/deputados/141520,PAULO RENATO SOUZA,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,53,,https://www.camara.leg.br/internet/deputado/bandep/141520.jpgmaior.jpg,Vice-Líder,Partido Político,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,2007-02-13,2008-02-28
74216,https://dadosabertos.camara.leg.br/api/v2/deputados/74216,RAIMUNDO GOMES DE MATOS,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,CE,53,,https://www.camara.leg.br/internet/deputado/bandep/74216.jpgmaior.jpg,Vice-Líder,Partido Político,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,2007-02-13,2010-03-12
141531,https://dadosabertos.camara.leg.br/api/v2/deputados/141531,RODRIGO DE CASTRO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MG,53,dep.rodrigodecastro@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/141531.jpgmaior.jpg,Vice-Líder,Partido Político,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,2007-02-13,2008-02-28
141553,https://dadosabertos.camara.leg.br/api/v2/deputados/141553,VANDERLEI MACRIS,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,53,,https://www.camara.leg.br/internet/deputado/bandep/141553.jpgmaior.jpg,Vice-Líder,Partido Político,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,2007-02-13,2008-02-28
74354,https://dadosabertos.camara.leg.br/api/v2/deputados/74354,ZENALDO COUTINHO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,PA,53,,https://www.camara.leg.br/internet/deputado/bandep/74354.jpgmaior.jpg,Vice-Líder,Partido Político,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,2007-02-13,2007-08-22
73579,https://dadosabertos.camara.leg.br/api/v2/deputados/73579,ALBERTO FRAGA,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,DF,53,dep.albertofraga@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/73579.jpgmaior.jpg,Vice-Líder,Partido Político,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,2007-02-13,2007-10-17
74537,https://dadosabertos.camara.leg.br/api/v2/deputados/74537,CLAUDIO CAJADO,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,BA,53,dep.claudiocajado@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/74537.jpgmaior.jpg,Vice-Líder,Partido Político,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,2007-02-13,2010-03-03
141391,https://dadosabertos.camara.leg.br/api/v2/deputados/141391,ARNALDO JARDIM,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813,SP,53,dep.arnaldojardim@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/141391.jpgmaior.jpg,Vice-Líder,Partido Político,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813,2007-02-13,2007-03-06
141537,https://dadosabertos.camara.leg.br/api/v2/deputados/141537,MOREIRA MENDES,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813,RO,53,,https://www.camara.leg.br/internet/deputado/bandep/141537.jpgmaior.jpg,Vice-Líder,Partido Político,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813,2007-02-13,2011-01-31
74151,https://dadosabertos.camara.leg.br/api/v2/deputados/74151,GERALDO THADEU,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813,MG,53,,https://www.camara.leg.br/internet/deputado/bandep/74151.jpgmaior.jpg,Vice-Líder,Partido Político,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813,2007-02-13,2009-12-22
74048,https://dadosabertos.camara.leg.br/api/v2/deputados/74048,RAUL JUNGMANN,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813,PE,53,,https://www.camara.leg.br/internet/deputado/bandep/74048.jpgmaior.jpg,Vice-Líder,Partido Político,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813,2007-02-13,2008-03-10
73655,https://dadosabertos.camara.leg.br/api/v2/deputados/73655,AUGUSTO CARVALHO,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813,DF,53,,https://www.camara.leg.br/internet/deputado/bandep/73655.jpgmaior.jpg,Vice-Líder,Partido Político,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813,2007-02-13,2007-03-13
74471,https://dadosabertos.camara.leg.br/api/v2/deputados/74471,ANDRÉ DE PAULA,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,PE,53,,https://www.camara.leg.br/internet/deputado/bandep/74471.jpgmaior.jpg,Vice-Líder,Partido Político,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,2007-02-13,2008-03-04
141496,https://dadosabertos.camara.leg.br/api/v2/deputados/141496,MARCIO JUNQUEIRA,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,RR,53,,https://www.camara.leg.br/internet/deputado/bandep/141496.jpgmaior.jpg,Vice-Líder,Partido Político,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,2007-02-13,2010-08-26
141460,https://dadosabertos.camara.leg.br/api/v2/deputados/141460,JOÃO OLIVEIRA,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,TO,53,,https://www.camara.leg.br/internet/deputado/bandep/141460.jpgmaior.jpg,Vice-Líder,Partido Político,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,2007-02-13,2008-03-04
74063,https://dadosabertos.camara.leg.br/api/v2/deputados/74063,FERNANDO DE FABINHO,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,BA,53,,https://www.camara.leg.br/internet/deputado/bandep/74063.jpgmaior.jpg,Vice-Líder,Partido Político,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,2007-02-13,2008-03-04
141546,https://dadosabertos.camara.leg.br/api/v2/deputados/141546,SOLANGE AMARAL,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,RJ,53,,https://www.camara.leg.br/internet/deputado/bandep/141546.jpgmaior.jpg,Vice-Líder,Partido Político,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,2007-02-13,2007-04-27
141498,https://dadosabertos.camara.leg.br/api/v2/deputados/141498,DR. UBIALI,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,SP,53,,https://www.camara.leg.br/internet/deputado/bandep/141498.jpgmaior.jpg,Vice-Líder,Bloco Parlamentar,"PSB, PCdoB, PRB",https://dadosabertos.camara.leg.br/api/v2/blocos/533,2007-02-27,2010-03-02
141490,https://dadosabertos.camara.leg.br/api/v2/deputados/141490,MANOEL JUNIOR,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,PB,53,,https://www.camara.leg.br/internet/deputado/bandep/141490.jpgmaior.jpg,Vice-Líder,Bloco Parlamentar,"PSB, PCdoB, PRB",https://dadosabertos.camara.leg.br/api/v2/blocos/533,2007-02-27,2009-03-11
